;user;timestamp;cpu;ram;disco;temperatura_cpu;temperatura_disco;memoria_swap;quantidade_processos
0;aluno;2025-09-29 13:01:48;8.9;63.3;29.9;50.0;29.85;1.0;296
1;aluno;2025-09-29 13:01:49;2.8;63.4;29.9;50.0;29.85;1.0;299
2;aluno;2025-09-29 13:01:50;1.9;63.4;29.9;51.0;29.85;1.0;296
3;aluno;2025-09-29 13:01:51;19.2;63.6;29.9;50.0;29.85;1.0;299
4;aluno;2025-09-29 13:01:52;14.9;63.6;29.9;50.0;29.85;1.0;296
5;aluno;2025-09-29 13:01:53;18.1;63.5;29.9;50.0;29.85;1.0;296
6;aluno;2025-09-29 13:01:55;15.2;63.5;29.9;50.0;29.85;1.0;296
7;aluno;2025-09-29 13:01:56;17.8;63.6;29.9;50.0;29.85;1.0;296
8;aluno;2025-09-29 13:01:57;18.8;63.3;29.9;50.0;29.85;1.0;299
9;aluno;2025-09-29 13:01:58;15.6;63.4;29.9;50.0;29.85;1.0;296
10;aluno;2025-09-29 13:01:59;15.4;63.4;29.9;50.0;29.85;1.0;296
11;aluno;2025-09-29 13:02:00;14.0;63.4;29.9;50.0;29.85;1.0;296
12;aluno;2025-09-29 13:02:01;18.4;63.6;29.9;49.0;29.85;1.0;299
13;aluno;2025-09-29 13:02:02;18.1;63.5;29.9;50.0;29.85;1.0;296
14;aluno;2025-09-29 13:02:03;29.7;63.8;29.9;51.0;29.85;1.0;298
15;aluno;2025-09-29 13:02:04;68.7;67.4;29.9;64.0;29.85;1.0;298
16;aluno;2025-09-29 13:02:05;67.6;69.5;29.9;66.0;29.85;1.0;298
17;aluno;2025-09-29 13:02:07;47.2;69.9;29.9;54.0;29.85;1.0;301
18;aluno;2025-09-29 13:02:08;36.9;68.8;29.9;54.0;29.85;1.0;298
19;aluno;2025-09-29 13:02:09;27.5;63.0;29.9;53.0;29.85;1.0;290
