;user;timestamp;cpu;ram;disco;temperatura_cpu;temperatura_disco;memoria_swap;quantidade_processos
0;aluno;2025-09-29 12:52:56;12.3;60.2;29.9;53.0;30.85;1.0;302
1;aluno;2025-09-29 12:52:57;2.8;60.3;29.9;52.0;29.85;1.0;305
2;aluno;2025-09-29 12:52:58;1.7;60.2;29.9;53.0;29.85;1.0;302
3;aluno;2025-09-29 12:52:59;2.1;60.2;29.9;52.0;30.85;1.0;305
4;aluno;2025-09-29 12:53:01;2.5;60.2;29.9;52.0;30.85;1.0;302
5;aluno;2025-09-29 12:53:02;1.9;60.2;29.9;51.0;30.85;1.0;302
6;aluno;2025-09-29 12:53:03;2.1;60.1;29.9;51.0;30.85;1.0;302
7;aluno;2025-09-29 12:53:04;1.8;60.1;29.9;51.0;30.85;1.0;302
8;aluno;2025-09-29 12:53:05;2.7;60.2;29.9;51.0;30.85;1.0;305
9;aluno;2025-09-29 12:53:06;1.8;60.2;29.9;51.0;30.85;1.0;302
10;aluno;2025-09-29 12:53:07;2.1;60.2;29.9;50.0;29.85;1.0;302
11;aluno;2025-09-29 12:53:08;2.1;60.2;29.9;50.0;29.85;1.0;302
12;aluno;2025-09-29 12:53:09;3.6;60.2;29.9;51.0;30.85;1.0;302
13;aluno;2025-09-29 12:53:10;2.4;60.2;29.9;51.0;30.85;1.0;305
14;aluno;2025-09-29 12:53:11;2.0;60.2;29.9;51.0;30.85;1.0;302
15;aluno;2025-09-29 12:53:12;3.9;60.1;29.9;50.0;30.85;1.0;302
16;aluno;2025-09-29 12:53:13;1.8;60.1;29.9;50.0;30.85;1.0;302
17;aluno;2025-09-29 12:53:14;2.2;60.1;29.9;50.0;30.85;1.0;305
18;aluno;2025-09-29 12:53:15;2.2;60.1;29.9;50.0;29.85;1.0;302
19;aluno;2025-09-29 12:53:16;1.9;60.1;29.9;49.0;29.85;1.0;302
